character,decomposition,etymology,radical,matches
漩,⿰氵旋,"{type: ideographic, hint: Swirling 旋 water 氵; 旋 also provides the pronunciation}",氵,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
漪,⿰氵猗,"{type: pictophonetic, phonetic: 猗, semantic: 氵, hint: water}",氵,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
漫,⿰氵曼,"{type: pictophonetic, phonetic: 曼, semantic: 氵, hint: water}",氵,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
漬,⿰氵責,"{type: pictophonetic, phonetic: 責, semantic: 氵, hint: water}",氵,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
漭,⿰氵莽,"{type: pictophonetic, phonetic: 莽, semantic: 氵, hint: water}",氵,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
漯,⿰氵累,"{type: pictophonetic, phonetic: 累, semantic: 氵, hint: water}",氵,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
漱,⿰氵欶,"{type: ideographic, hint: To gargle 欶 water 氵; 欶 also provides the pronunciation}",氵,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
漲,⿰氵張,"{type: pictophonetic, phonetic: 张, semantic: 氵, hint: water}",氵,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
漳,⿰氵章,"{type: pictophonetic, phonetic: 章, semantic: 氵, hint: water}",氵,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
漵,⿰氵敘,"{type: pictophonetic, phonetic: 敘, semantic: 氵, hint: water}",氵,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
漶,⿰氵患,"{type: pictophonetic, phonetic: 患, semantic: 氵, hint: water}",氵,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
漸,⿰氵斬,"{type: pictophonetic, phonetic: 斬, semantic: 氵, hint: water}",氵,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
漼,⿰氵崔,"{type: ideographic, hint: A deep 崔 pool 氵; 崔 also provides the pronunciation}",氵,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
漾,⿰氵羕,"{type: pictophonetic, phonetic: 羕, semantic: 氵, hint: water}",氵,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
漿,⿱將水,"{type: pictophonetic, phonetic: 將, semantic: 水, hint: water}",水,"[[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[1],[1],[1],[1]]"
潆,⿰氵萦,"{type: ideographic, hint: Water 氵 coiling 萦 on itself; 萦 also provides the pronunciation}",氵,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
潇,⿰氵萧,"{type: pictophonetic, phonetic: 萧, semantic: 氵, hint: water}",氵,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
潋,⿰氵敛,"{type: pictophonetic, phonetic: 敛, semantic: 氵, hint: water}",氵,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
潍,⿰氵维,"{type: pictophonetic, phonetic: 维, semantic: 氵, hint: water}",氵,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
潑,⿰氵發,"{type: ideographic, hint: To send forth 發 water 氵}",氵,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
潔,⿰氵絜,"{type: pictophonetic, phonetic: 絜, semantic: 氵, hint: water}",氵,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
潘,⿰氵番,"{type: pictophonetic, phonetic: 番, semantic: 氵, hint: water}",氵,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
潛,⿰氵朁,"{type: pictophonetic, phonetic: 朁, semantic: 氵, hint: water}",氵,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
潜,⿰氵替,"{type: pictophonetic, phonetic: 替, semantic: 氵, hint: water}",氵,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
潞,⿰氵路,"{type: pictophonetic, phonetic: 路, semantic: 氵, hint: water}",氵,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
潟,⿰氵舄,"{type: pictophonetic, phonetic: 舄, semantic: 氵, hint: water}",氵,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
潢,⿰氵黄,"{type: pictophonetic, phonetic: 黄, semantic: 氵, hint: water}",氵,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
潤,⿰氵閏,"{type: pictophonetic, phonetic: 閏, semantic: 氵, hint: water}",氵,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
潦,⿰氵尞,"{type: pictophonetic, phonetic: 尞, semantic: 氵, hint: water}",氵,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
潭,⿰氵覃,"{type: pictophonetic, phonetic: 覃, semantic: 氵, hint: water}",氵,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
潮,⿰氵朝,"{type: pictophonetic, phonetic: 朝, semantic: 氵, hint: water}",氵,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
潯,⿰氵尋,"{type: pictophonetic, phonetic: 尋, semantic: 氵, hint: water}",氵,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
潰,⿰氵貴,"{type: pictophonetic, phonetic: 貴, semantic: 氵, hint: water}",氵,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
潲,⿰氵稍,"{type: ideographic, hint: A little 稍 water 氵; 稍 also provides the pronunciation}",氵,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
潴,⿰氵猪,"{type: pictophonetic, phonetic: 猪, semantic: 氵, hint: water}",氵,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
潸,⿰氵⿱林月,"{type: ideographic, hint: Water 氵 falling from closed eyes 林}",氵,"[[0],[0],[0],[1,0],[1,0],[1,0],[1,0],[1,0],[1,0],[1,0],[1,0],[1,1],[1,1],[1,1],[1,1]]"
潺,⿰氵孱,"{type: pictophonetic, phonetic: 孱, semantic: 氵, hint: water}",氵,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
潼,⿰氵童,"{type: pictophonetic, phonetic: 童, semantic: 氵, hint: water}",氵,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
潽,⿰氵普,"{type: pictophonetic, phonetic: 普, semantic: 氵, hint: water}",氵,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
澀,⿰氵歰,"{type: ideographic, hint: Water 氵 that cuts like a knife 歰; 歰 also provides the pronunciation}",氵,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
澄,⿰氵登,"{type: pictophonetic, phonetic: 登, semantic: 氵, hint: water}",氵,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
澆,⿰氵堯,"{type: pictophonetic, phonetic: 堯, semantic: 氵, hint: water}",氵,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
澇,⿰氵勞,"{type: pictophonetic, phonetic: 勞, semantic: 氵, hint: water}",氵,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
澈,⿰氵⿰育攵,"{type: pictophonetic, semantic: 氵, hint: water}",氵,"[[0],[0],[0],[1,0],[1,0],[1,0],[1,0],[1,0],[1,0],[1,0],[1,0],[1,1],[1,1],[1,1],[1,1]]"
澉,⿰氵敢,"{type: pictophonetic, phonetic: 敢, semantic: 氵, hint: water}",氵,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
澌,⿰氵斯,"{type: pictophonetic, phonetic: 斯, semantic: 氵, hint: water}",氵,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
澍,⿰氵尌,"{type: ideographic, hint: Rain 氵 that saves 尌 the farm; 尌 also provides the pronunciation}",氵,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
澎,⿰氵彭,"{type: pictophonetic, phonetic: 彭, semantic: 氵, hint: water}",氵,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
澗,⿰氵間,"{type: ideographic, hint: A stream 氵 flowing through a valley 間; 間 also provides the pronunciation}",氵,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
澜,⿰氵阑,"{type: pictophonetic, phonetic: 阑, semantic: 氵, hint: water}",氵,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
澠,⿰氵黽,"{type: pictophonetic, phonetic: 黽, semantic: 氵, hint: water}",氵,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
澡,⿰氵喿,"{type: pictophonetic, phonetic: 喿, semantic: 氵, hint: water}",氵,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
澤,⿰氵睪,"{type: pictophonetic, semantic: 氵, hint: water, phonetic: 睪}",氵,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
澥,⿰氵解,"{type: pictophonetic, phonetic: 解, semantic: 氵, hint: water}",氵,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
澧,⿰氵豊,"{type: pictophonetic, phonetic: 豊, semantic: 氵, hint: water}",氵,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
澱,⿰氵殿,"{type: pictophonetic, phonetic: 殿, semantic: 氵, hint: water}",氵,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
澳,⿰氵奥,"{type: pictophonetic, phonetic: 奥, semantic: 氵, hint: water}",氵,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
澶,⿰氵亶,"{type: pictophonetic, phonetic: 亶, semantic: 氵, hint: water}",氵,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
澹,⿰氵詹,"{type: pictophonetic, phonetic: 詹, semantic: 氵, hint: water}",氵,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
激,⿰氵敫,"{type: pictophonetic, phonetic: 敫, semantic: 氵, hint: water}",氵,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
濁,⿰氵蜀,"{type: ideographic, hint: A pond 氵 growing scum 蜀}",氵,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
濂,⿰氵廉,"{type: pictophonetic, phonetic: 廉, semantic: 氵, hint: water}",氵,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
濃,⿰氵農,"{type: pictophonetic, phonetic: 農, semantic: 氵, hint: water}",氵,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
濉,⿰氵睢,"{type: pictophonetic, phonetic: 睢, semantic: 氵, hint: water}",氵,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
濊,⿰氵歲,"{type: pictophonetic, phonetic: 歲, semantic: 氵, hint: water}",氵,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
濑,⿰氵赖,"{type: pictophonetic, phonetic: 赖, semantic: 氵, hint: water}",氵,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
濒,⿰氵频,"{type: pictophonetic, phonetic: 频, semantic: 氵, hint: water}",氵,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
濕,⿰氵㬎,"{type: pictophonetic, phonetic: 㬎, semantic: 氵, hint: water}",氵,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
濘,⿰氵寧,"{type: ideographic, hint: Still 寧 water 氵; 寧 also provides the pronunciation}",氵,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
濛,⿰氵蒙,"{type: pictophonetic, phonetic: 蒙, semantic: 氵, hint: water}",氵,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
濞,⿰氵鼻,"{type: pictophonetic, phonetic: 鼻, semantic: 氵, hint: water}",氵,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
濟,⿰氵齊,"{type: pictophonetic, phonetic: 齊, semantic: 氵, hint: water}",氵,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
濠,⿰氵豪,"{type: pictophonetic, phonetic: 豪, semantic: 氵, hint: water}",氵,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
濡,⿰氵需,"{type: pictophonetic, phonetic: 需, semantic: 氵, hint: water}",氵,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
濤,⿰氵壽,"{type: pictophonetic, phonetic: 壽, semantic: 氵, hint: water}",氵,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
濫,⿰氵監,"{type: pictophonetic, phonetic: 監, semantic: 氵, hint: water}",氵,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
濮,⿰氵僕,"{type: pictophonetic, phonetic: 僕, semantic: 氵, hint: water}",氵,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
濯,⿰氵翟,"{type: pictophonetic, phonetic: 隹, semantic: 氵, hint: water}",氵,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
濰,⿰氵維,"{type: pictophonetic, phonetic: 維, semantic: 氵, hint: water}",氵,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
濱,⿰氵賓,"{type: pictophonetic, phonetic: 賓, semantic: 氵, hint: water}",氵,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
濺,⿰氵賤,"{type: pictophonetic, phonetic: 賤, semantic: 氵, hint: water}",氵,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
濾,⿰氵慮,"{type: pictophonetic, phonetic: 慮, semantic: 氵, hint: water}",氵,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
瀆,⿰氵賣,"{type: pictophonetic, phonetic: 賣, semantic: 氵, hint: water}",氵,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
瀉,⿰氵寫,"{type: pictophonetic, phonetic: 寫, semantic: 氵, hint: water}",氵,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
瀋,⿰氵審,"{type: pictophonetic, phonetic: 審, semantic: 氵, hint: water}",氵,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
瀏,⿰氵劉,"{type: pictophonetic, phonetic: 劉, semantic: 氵, hint: water}",氵,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
瀑,⿰氵暴,"{type: ideographic, hint: Violent 暴 water 氵; 暴 also provides the pronunciation}",氵,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
瀕,⿰氵頻,"{type: pictophonetic, phonetic: 頻, semantic: 氵, hint: water}",氵,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
瀘,⿰氵盧,"{type: pictophonetic, phonetic: 盧, semantic: 氵, hint: water}",氵,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
瀚,⿰氵翰,"{type: pictophonetic, phonetic: 翰, semantic: 氵, hint: water}",氵,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
瀛,⿰氵嬴,"{type: pictophonetic, phonetic: 嬴, semantic: 氵, hint: water}",氵,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
瀝,⿰氵歷,"{type: pictophonetic, phonetic: 歷, semantic: 氵, hint: water}",氵,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
瀟,⿰氵蕭,"{type: pictophonetic, phonetic: 蕭, semantic: 氵, hint: water}",氵,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
瀣,⿰氵韰,"{type: pictophonetic, phonetic: 韰, semantic: 氵, hint: water}",氵,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
瀧,⿰氵龍,"{type: pictophonetic, phonetic: 龍, semantic: 氵, hint: water}",氵,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
瀨,⿰氵賴,"{type: pictophonetic, phonetic: 賴, semantic: 氵, hint: water}",氵,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
瀰,⿰氵彌,"{type: ideographic, hint: Water 氵 everywhere 彌; 彌 also provides the pronunciation}",氵,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
瀵,⿰氵糞,"{type: pictophonetic, phonetic: 糞, semantic: 氵, hint: water}",氵,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
瀹,⿰氵龠,"{type: pictophonetic, phonetic: 龠, semantic: 氵, hint: water}",氵,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
瀾,⿰氵闌,"{type: pictophonetic, phonetic: 闌, semantic: 氵, hint: water}",氵,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
灌,⿰氵雚,"{type: pictophonetic, phonetic: 雚, semantic: 氵, hint: water}",氵,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
灏,⿰氵颢,"{type: pictophonetic, phonetic: 颢, semantic: 氵, hint: water}",氵,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
灑,⿰氵麗,"{type: pictophonetic, phonetic: 麗, semantic: 氵, hint: water}",氵,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
灘,⿰氵難,"{type: ideographic, hint: Difficult 難 waters 氵 to navigate; 難 also provides the pronunciation}",氵,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
灞,⿰氵霸,"{type: pictophonetic, phonetic: 霸, semantic: 氵, hint: water}",氵,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
灣,⿰氵彎,"{type: pictophonetic, phonetic: 彎, semantic: 氵, hint: water}",氵,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
火,⿻丷人,"{type: pictographic, hint: Flames}",火,"[[0],[0],[1],[1]]"
灬,？,null,灬,"[null,null,null,null]"
灭,⿱一火,"{type: ideographic, hint: To cover 一 a flame 火}",火,"[[0],[1],[1],[1],[1]]"
灯,⿰火丁,"{type: pictophonetic, phonetic: 丁, semantic: 火, hint: fire}",火,"[[0],[0],[0],[0],[1],[1]]"
灰,⿸？火,"{type: ideographic, hint: The remains of a fire 火; 火 also provides the pronunciation}",火,"[null,null,[1],[1],[1],[1]]"
灵,⿱彐火,"{type: pictophonetic, phonetic: 彐, semantic: 火, hint: fire}",彐,"[[0],[0],[0],[1],[1],[1],[1]]"
灶,⿰火土,"{type: ideographic, hint: A clay 土 oven 火}",火,"[[0],[0],[0],[0],[1],[1],[1]]"
灸,⿱久火,"{type: pictophonetic, phonetic: 久, semantic: 火, hint: fire}",火,"[[0],[0],[0],[1],[1],[1],[1]]"
灼,⿰火勺,"{type: pictophonetic, phonetic: 勺, semantic: 火, hint: fire}",火,"[[0],[0],[0],[0],[1],[1],[1]]"
災,⿱巛火,"{type: ideographic, hint: A river 巛 on fire 火}",火,"[[0],[0],[0],[1],[1],[1],[1]]"
灾,⿱宀火,"{type: ideographic, hint: A house 宀 on fire 火}",火,"[[0],[0],[0],[1],[1],[1],[1]]"
灿,⿰火山,"{type: pictophonetic, phonetic: 山, semantic: 火, hint: fire}",火,"[[0],[0],[0],[0],[1],[1],[1]]"
炀,⿰火昜,"{type: pictophonetic, phonetic: 昜, semantic: 火, hint: fire}",火,"[[0],[0],[0],[0],[1],[1],[1]]"
炅,⿱日火,"{type: ideographic, hint: A flame 火 as bright as the sun 日}",火,"[[0],[0],[0],[0],[1],[1],[1],[1]]"
炆,⿰火文,"{type: pictophonetic, phonetic: 文, semantic: 火, hint: fire}",火,"[[0],[0],[0],[0],[1],[1],[1],[1]]"
炉,⿰火户,"{type: ideographic, hint: A fire 火 in one's home 户}",火,"[[0],[0],[0],[0],[1],[1],[1],[1]]"
炊,⿰火欠,"{type: pictophonetic, phonetic: 欠, semantic: 火, hint: fire}",火,"[[0],[0],[0],[0],[1],[1],[1],[1]]"
炎,⿱火火,"{type: ideographic, hint: Two fires 火 burning}",火,"[[0],[0],[0],[0],[1],[1],[1],[1]]"
炏,⿰火火,"{type: pictographic, hint: Two blades of grass; compare 艸}",火,"[[0],[0],[0],[0],[1],[1],[1],[1]]"
炒,⿰火少,"{type: pictophonetic, phonetic: 少, semantic: 火, hint: fire}",火,"[[0],[0],[0],[0],[1],[1],[1],[1]]"
炔,⿰火夬,"{type: pictophonetic, phonetic: 夬, semantic: 火, hint: fire}",火,"[[0],[0],[0],[0],[1],[1],[1],[1]]"
炕,⿰火亢,"{type: pictophonetic, phonetic: 亢, semantic: 火, hint: fire}",火,"[[0],[0],[0],[0],[1],[1],[1],[1]]"
炖,⿰火屯,"{type: pictophonetic, phonetic: 屯, semantic: 火, hint: fire}",火,"[[0],[0],[0],[0],[1],[1],[1],[1]]"
炙,⿱月火,"{type: pictophonetic, phonetic: 月, semantic: 火, hint: fire}",火,"[[0],[0],[0],[0],[1],[1],[1],[1]]"
炜,⿰火韦,"{type: pictophonetic, phonetic: 韦, semantic: 火, hint: fire}",火,"[[0],[0],[0],[0],[1],[1],[1],[1]]"
炝,⿰火仓,"{type: pictophonetic, phonetic: 仓, semantic: 火, hint: fire}",火,"[[0],[0],[0],[0],[1],[1],[1],[1]]"
炤,⿰火召,"{type: pictophonetic, phonetic: 召, semantic: 火, hint: fire}",火,"[[0],[0],[0],[0],[1],[1],[1],[1],[1]]"
炫,⿰火玄,"{type: pictophonetic, phonetic: 玄, semantic: 火, hint: fire}",火,"[[0],[0],[0],[0],[1],[1],[1],[1],[1]]"
炬,⿰火巨,"{type: pictophonetic, phonetic: 巨, semantic: 火, hint: fire}",火,"[[0],[0],[0],[0],[1],[1],[1],[1]]"
炭,⿱山灰,"{type: pictophonetic, phonetic: 山, semantic: 灰, hint: ashes}",火,"[[0],[0],[0],[1],[1],[1],[1],[1],[1]]"
炮,⿰火包,"{type: pictophonetic, phonetic: 包, semantic: 火, hint: fire}",火,"[[0],[0],[0],[0],[1],[1],[1],[1],[1]]"
炯,⿰火冋,"{type: pictophonetic, phonetic: 冋, semantic: 火, hint: fire}",火,"[[0],[0],[0],[0],[1],[1],[1],[1],[1]]"
炱,⿱台火,"{type: pictophonetic, phonetic: 台, semantic: 火, hint: fire}",火,"[[0],[0],[0],[0],[0],[1],[1],[1],[1]]"
炳,⿰火丙,"{type: pictophonetic, phonetic: 丙, semantic: 火, hint: fire}",火,"[[0],[0],[0],[0],[1],[1],[1],[1],[1]]"
炷,⿰火主,"{type: ideographic, hint: A lit 火 candle 主; 主 also provides the pronunciation}",火,"[[0],[0],[0],[0],[1],[1],[1],[1],[1]]"
炸,⿰火乍,"{type: ideographic, hint: A sudden 乍 flame 火; 乍 also provides the pronunciation}",火,"[[0],[0],[0],[0],[1],[1],[1],[1],[1]]"
点,⿱占灬,"{type: pictophonetic, phonetic: 占, semantic: 灬, hint: fire}",灬,"[[0],[0],[0],[0],[0],[1],[1],[1],[1]]"
為,⿱爫⿵？灬,"{type: ideographic, hint: A hand 爫 leading an elephant}",灬,"[[0],[0],[0],[0],null,null,null,null,[1,1],[1,1],[1,1],[1,1]]"
炻,⿰火石,"{type: ideographic, hint: Fired 火 clay 石; 石 also provides the pronunciation}",火,"[[0],[0],[0],[0],[1],[1],[1],[1],[1]]"
炼,⿰火柬,"{type: pictophonetic, phonetic: 柬, semantic: 火, hint: fire}",火,"[[0],[0],[0],[0],[1],[1],[1],[1],[1]]"
炽,⿰火只,"{type: pictophonetic, phonetic: 只, semantic: 火, hint: fire}",火,"[[0],[0],[0],[0],[1],[1],[1],[1],[1]]"
烀,⿰火乎,"{type: pictophonetic, phonetic: 乎, semantic: 火, hint: fire}",火,"[[0],[0],[0],[0],[1],[1],[1],[1],[1]]"
