character,decomposition,etymology,radical,matches
寒,⿱宀⿱？？,null,宀,"[[0],[0],[0],null,null,null,null,null,null,null,null,null]"
寓,⿱宀禺,"{type: pictophonetic, phonetic: 禺, semantic: 宀, hint: roof}",宀,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
寝,⿱宀⿰丬⿳彐冖又,"{type: ideographic, hint: A person 彐冖又 lying down on a bed 丬 in their home 宀}",宀,"[[0],[0],[0],[1,0],[1,0],[1,0],[1,1,0],[1,1,0],[1,1,0],[1,1,1],[1,1,1],[1,1,2],[1,1,2]]"
寞,⿱宀莫,"{type: pictophonetic, phonetic: 莫, semantic: 宀, hint: roof}",宀,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
察,⿱宀祭,"{type: pictophonetic, phonetic: 祭, semantic: 宀, hint: roof}",宀,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
寡,⿱宀⿱頁刀,null,宀,"[[0],[0],[0],[1,0],[1,0],[1,0],[1,0],[1,0],[1,0],[1,0],[1,0],[1,0],[1,1],[1,1]]"
寢,⿱宀⿰爿⿳彐冖又,"{type: ideographic, hint: A person 彐冖又 lying down on a bed 爿 in their home 宀}",宀,"[[0],[0],[0],[1,0],[1,0],[1,0],[1,0],[1,1,0],[1,1,0],[1,1,0],[1,1,1],[1,1,1],[1,1,2],[1,1,2]]"
寤,⿱宀⿰爿吾,"{type: pictophonetic, phonetic: 吾, semantic: 宀, hint: roof}",宀,"[[0],[0],[0],[1,0],[1,0],[1,0],[1,0],[1,1],[1,1],[1,1],[1,1],[1,1],[1,1],[1,1]]"
寥,⿱宀翏,"{type: pictophonetic, phonetic: 翏, semantic: 宀, hint: roof}",宀,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
實,⿱宀貫,"{type: pictophonetic, phonetic: 宀, semantic: 貫, hint: pierce}",宀,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
寧,⿱宀⿱心⿱皿丁,"{type: pictophonetic, phonetic: 丁, semantic: 心, hint: heart}",宀,"[[0],[0],[0],[1,0],[1,0],[1,0],[1,0],[1,1,0],[1,1,0],[1,1,0],[1,1,0],[1,1,0],[1,1,1],[1,1,1]]"
寨,⿳宀？木,"{type: ideographic, hint: A fortress 宀 with walls made of wood 木}",宀,"[[0],[0],[0],null,null,null,null,null,null,null,[2],[2],[2],[2]]"
審,⿱宀番,"{type: pictophonetic, phonetic: 番, semantic: 宀, hint: courtroom}",宀,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
寫,⿱宀舄,null,宀,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
寬,⿳宀艹⿻見丶,"{type: pictophonetic, phonetic: 苋, semantic: 宀, hint: roof}",宀,"[[0],[0],[0],[1],[1],[1],[1],[2,0],[2,0],[2,0],[2,0],[2,0],[2,0],[2,0],[2,1]]"
